count,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,year,month,day,dayofweek,hour
16,1,0,0,1,9.84,14.395,81,0.0,2011,1,1,5,0
40,1,0,0,1,9.02,13.635,80,0.0,2011,1,1,5,1
32,1,0,0,1,9.02,13.635,80,0.0,2011,1,1,5,2
13,1,0,0,1,9.84,14.395,75,0.0,2011,1,1,5,3
1,1,0,0,1,9.84,14.395,75,0.0,2011,1,1,5,4
1,1,0,0,2,9.84,12.88,75,6.0032,2011,1,1,5,5
2,1,0,0,1,9.02,13.635,80,0.0,2011,1,1,5,6
3,1,0,0,1,8.2,12.88,86,0.0,2011,1,1,5,7
8,1,0,0,1,9.84,14.395,75,0.0,2011,1,1,5,8
14,1,0,0,1,13.12,17.425,76,0.0,2011,1,1,5,9
36,1,0,0,1,15.58,19.695,76,16.9979,2011,1,1,5,10
56,1,0,0,1,14.76,16.665,81,19.0012,2011,1,1,5,11
84,1,0,0,1,17.22,21.21,77,19.0012,2011,1,1,5,12
94,1,0,0,2,18.86,22.725,72,19.9995,2011,1,1,5,13
106,1,0,0,2,18.86,22.725,72,19.0012,2011,1,1,5,14
110,1,0,0,2,18.04,21.97,77,19.9995,2011,1,1,5,15
93,1,0,0,2,17.22,21.21,82,19.9995,2011,1,1,5,16
67,1,0,0,2,18.04,21.97,82,19.0012,2011,1,1,5,17
35,1,0,0,3,17.22,21.21,88,16.9979,2011,1,1,5,18
37,1,0,0,3,17.22,21.21,88,16.9979,2011,1,1,5,19
36,1,0,0,2,16.4,20.455,87,16.9979,2011,1,1,5,20
34,1,0,0,2,16.4,20.455,87,12.998,2011,1,1,5,21
28,1,0,0,2,16.4,20.455,94,15.0013,2011,1,1,5,22
39,1,0,0,2,18.86,22.725,88,19.9995,2011,1,1,5,23
17,1,0,0,2,18.86,22.725,88,19.9995,2011,1,2,6,0
17,1,0,0,2,18.04,21.97,94,16.9979,2011,1,2,6,1
9,1,0,0,2,17.22,21.21,100,19.0012,2011,1,2,6,2
6,1,0,0,2,18.86,22.725,94,12.998,2011,1,2,6,3
3,1,0,0,2,18.86,22.725,94,12.998,2011,1,2,6,4
2,1,0,0,3,17.22,21.21,77,19.9995,2011,1,2,6,6
1,1,0,0,2,16.4,20.455,76,12.998,2011,1,2,6,7
8,1,0,0,3,16.4,20.455,71,15.0013,2011,1,2,6,8
20,1,0,0,2,15.58,19.695,76,15.0013,2011,1,2,6,9
53,1,0,0,2,14.76,17.425,81,15.0013,2011,1,2,6,10
70,1,0,0,2,14.76,16.665,71,16.9979,2011,1,2,6,11
93,1,0,0,2,14.76,16.665,66,19.9995,2011,1,2,6,12
75,1,0,0,2,14.76,17.425,66,8.9981,2011,1,2,6,13
59,1,0,0,3,14.76,17.425,76,12.998,2011,1,2,6,14
74,1,0,0,3,13.94,16.665,81,11.0014,2011,1,2,6,15
76,1,0,0,3,13.94,16.665,71,11.0014,2011,1,2,6,16
65,1,0,0,1,13.94,16.665,57,12.998,2011,1,2,6,17
53,1,0,0,2,14.76,16.665,46,22.0028,2011,1,2,6,18
30,1,0,0,1,13.12,14.395,42,30.0026,2011,1,2,6,19
22,1,0,0,1,12.3,13.635,39,23.9994,2011,1,2,6,20
31,1,0,0,1,10.66,11.365,44,22.0028,2011,1,2,6,21
9,1,0,0,1,9.84,10.605,44,19.9995,2011,1,2,6,22
8,1,0,0,1,9.02,11.365,47,11.0014,2011,1,2,6,23
5,1,0,1,1,9.02,9.85,44,23.9994,2011,1,3,0,0
2,1,0,1,1,8.2,8.335,44,27.9993,2011,1,3,0,1
1,1,0,1,1,6.56,6.82,47,26.0027,2011,1,3,0,4
3,1,0,1,1,6.56,6.82,47,19.0012,2011,1,3,0,5
30,1,0,1,1,5.74,5.305,50,26.0027,2011,1,3,0,6
64,1,0,1,1,5.74,6.82,50,12.998,2011,1,3,0,7
154,1,0,1,1,5.74,6.06,50,19.0012,2011,1,3,0,8
88,1,0,1,1,6.56,6.82,43,26.0027,2011,1,3,0,9
44,1,0,1,1,7.38,8.335,43,16.9979,2011,1,3,0,10
51,1,0,1,1,8.2,9.09,40,22.0028,2011,1,3,0,11
61,1,0,1,1,9.02,10.605,35,19.9995,2011,1,3,0,12
61,1,0,1,1,9.84,10.605,35,19.0012,2011,1,3,0,13
77,1,0,1,1,10.66,12.12,30,19.0012,2011,1,3,0,14
72,1,0,1,1,10.66,12.12,30,16.9979,2011,1,3,0,15
76,1,0,1,1,10.66,12.12,30,16.9979,2011,1,3,0,16
157,1,0,1,1,9.84,11.365,30,15.0013,2011,1,3,0,17
157,1,0,1,1,9.84,12.88,32,7.0015,2011,1,3,0,18
110,1,0,1,1,8.2,12.88,47,0.0,2011,1,3,0,19
52,1,0,1,1,8.2,11.365,47,7.0015,2011,1,3,0,20
52,1,0,1,1,7.38,9.85,64,8.9981,2011,1,3,0,21
20,1,0,1,1,5.74,7.575,69,8.9981,2011,1,3,0,22
12,1,0,1,1,7.38,10.605,55,7.0015,2011,1,3,0,23
5,1,0,1,1,6.56,9.09,55,7.0015,2011,1,4,1,0
2,1,0,1,1,6.56,9.09,59,7.0015,2011,1,4,1,1
1,1,0,1,1,5.74,7.575,63,8.9981,2011,1,4,1,2
2,1,0,1,1,5.74,9.09,63,6.0032,2011,1,4,1,4
4,1,0,1,1,4.92,7.575,68,7.0015,2011,1,4,1,5
36,1,0,1,1,4.92,7.575,74,7.0015,2011,1,4,1,6
94,1,0,1,1,4.92,7.575,74,8.9981,2011,1,4,1,7
179,1,0,1,1,5.74,7.575,69,11.0014,2011,1,4,1,8
100,1,0,1,1,6.56,7.575,64,15.0013,2011,1,4,1,9
42,1,0,1,2,6.56,6.82,69,22.0028,2011,1,4,1,10
57,1,0,1,1,9.02,10.605,51,19.9995,2011,1,4,1,11
78,1,0,1,1,9.02,11.365,51,11.0014,2011,1,4,1,12
97,1,0,1,1,9.84,11.365,56,12.998,2011,1,4,1,13
63,1,0,1,1,10.66,12.88,52,15.0013,2011,1,4,1,14
65,1,0,1,1,11.48,13.635,52,16.9979,2011,1,4,1,15
83,1,0,1,1,12.3,14.395,49,16.9979,2011,1,4,1,16
212,1,0,1,1,11.48,13.635,48,15.0013,2011,1,4,1,17
182,1,0,1,1,10.66,12.88,48,12.998,2011,1,4,1,18
112,1,0,1,1,9.84,12.88,48,7.0015,2011,1,4,1,19
54,1,0,1,1,9.84,12.88,48,7.0015,2011,1,4,1,20
48,1,0,1,1,9.02,13.635,64,0.0,2011,1,4,1,21
35,1,0,1,1,9.02,12.88,64,6.0032,2011,1,4,1,22
11,1,0,1,1,8.2,11.365,69,6.0032,2011,1,4,1,23
6,1,0,1,1,8.2,12.88,64,0.0,2011,1,5,2,0
6,1,0,1,1,6.56,9.85,74,6.0032,2011,1,5,2,1
2,1,0,1,1,6.56,9.85,74,6.0032,2011,1,5,2,2
2,1,0,1,1,9.84,11.365,48,15.0013,2011,1,5,2,4
3,1,0,1,1,9.02,11.365,47,11.0014,2011,1,5,2,5
33,1,0,1,1,8.2,9.85,47,15.0013,2011,1,5,2,6
88,1,0,1,1,7.38,9.09,43,12.998,2011,1,5,2,7
195,1,0,1,1,8.2,9.09,40,19.9995,2011,1,5,2,8
115,1,0,1,1,9.02,9.85,37,22.0028,2011,1,5,2,9
57,1,0,1,1,9.02,9.85,37,22.0028,2011,1,5,2,10
46,1,0,1,1,10.66,11.365,33,22.0028,2011,1,5,2,11
79,1,0,1,1,10.66,11.365,33,22.0028,2011,1,5,2,12
71,1,0,1,1,11.48,12.88,30,19.9995,2011,1,5,2,13
62,1,0,1,1,12.3,14.395,28,12.998,2011,1,5,2,14
62,1,0,1,1,12.3,14.395,28,12.998,2011,1,5,2,15
89,1,0,1,1,12.3,15.91,28,6.0032,2011,1,5,2,16
190,1,0,1,1,9.84,11.365,38,12.998,2011,1,5,2,17
169,1,0,1,1,9.84,12.12,38,8.9981,2011,1,5,2,18
132,1,0,1,1,9.84,12.88,38,7.0015,2011,1,5,2,19
89,1,0,1,1,9.02,11.365,47,11.0014,2011,1,5,2,20
43,1,0,1,1,8.2,9.85,51,12.998,2011,1,5,2,21
42,1,0,1,1,7.38,9.85,55,8.9981,2011,1,5,2,22
19,1,0,1,1,8.2,12.88,47,0.0,2011,1,5,2,23
11,1,0,1,1,7.38,12.12,55,0.0,2011,1,6,3,0
4,1,0,1,1,6.56,11.365,64,0.0,2011,1,6,3,1
2,1,0,1,1,6.56,11.365,64,0.0,2011,1,6,3,2
1,1,0,1,2,6.56,9.85,64,6.0032,2011,1,6,3,4
4,1,0,1,2,5.74,9.09,69,6.0032,2011,1,6,3,5
36,1,0,1,2,5.74,8.335,63,7.0015,2011,1,6,3,6
95,1,0,1,2,6.56,11.365,59,0.0,2011,1,6,3,7
219,1,0,1,1,6.56,11.365,59,0.0,2011,1,6,3,8
122,1,0,1,2,7.38,12.12,51,0.0,2011,1,6,3,9
45,1,0,1,1,8.2,12.88,47,0.0,2011,1,6,3,10
59,1,0,1,1,9.02,12.88,44,6.0032,2011,1,6,3,11
84,1,0,1,1,10.66,14.395,35,0.0,2011,1,6,3,12
67,1,0,1,1,10.66,13.635,35,7.0015,2011,1,6,3,13
70,1,0,1,1,11.48,13.635,36,11.0014,2011,1,6,3,14
62,1,0,1,1,11.48,13.635,36,0.0,2011,1,6,3,15
86,1,0,1,1,10.66,12.88,38,11.0014,2011,1,6,3,16
172,1,0,1,1,9.02,11.365,51,11.0014,2011,1,6,3,17
163,1,0,1,1,9.02,11.365,51,8.9981,2011,1,6,3,18
112,1,0,1,1,9.02,12.88,55,6.0032,2011,1,6,3,19
69,1,0,1,1,8.2,10.605,51,11.0014,2011,1,6,3,20
48,1,0,1,2,9.02,10.605,55,15.0013,2011,1,6,3,21
52,1,0,1,2,9.02,10.605,51,19.0012,2011,1,6,3,22
23,1,0,1,2,8.2,9.85,59,12.998,2011,1,6,3,23
17,1,0,1,2,8.2,9.85,64,12.998,2011,1,7,4,0
7,1,0,1,2,8.2,9.85,69,15.0013,2011,1,7,4,1
1,1,0,1,2,8.2,9.85,69,15.0013,2011,1,7,4,2
1,1,0,1,2,8.2,10.605,69,8.9981,2011,1,7,4,4
5,1,0,1,3,9.02,13.635,55,0.0,2011,1,7,4,5
34,1,0,1,2,8.2,12.88,69,0.0,2011,1,7,4,6
84,1,0,1,1,8.2,10.605,69,8.9981,2011,1,7,4,7
